종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"085660","차바이오텍","KOSDAQ","제약","15000","-350","-2.28","844716645000"
"261780","차백신연구소","KOSDAQ","기타서비스","3660","-40","-1.08","98178577680"
"351870","차이커뮤니케이션","KOSDAQ","기타서비스","12600","-180","-1.41","140251721400"
"094850","참좋은여행","KOSDAQ","기타서비스","5610","90","1.63","78540000000"
"004650","창해에탄올","KOSDAQ","음식료·담배","9240","-30","-0.32","84923777400"
"278280","천보","KOSDAQ","화학","41150","-2150","-4.97","411500000000"
"362320","청담글로벌","KOSDAQ","유통","5090","-30","-0.59","104606066100"
"066360","체리부로","KOSDAQ","음식료·담배","786","-53","-6.32","37690283790"
"047820","초록뱀미디어","KOSDAQ","오락·문화","5400","0","0.00","132051222000"
"094360","칩스앤미디어","KOSDAQ","일반전기전자","13570","-510","-3.62","282569792680"
"016920","카스","KOSDAQ","유통","1132","-33","-2.83","29990685016"
"284620","카이노스메드","KOSDAQ","기타서비스","2940","170","6.14","82851531420"
"293490","카카오게임즈","KOSDAQ","출판·매체복제","18150","170","0.95","1500515421900"
"140430","카티스","KOSDAQ","기타서비스","2455","-125","-4.84","46895947645"
"042000","카페24","KOSDAQ","기타서비스","33150","-1350","-3.91","803988740100"
"313760","캐리","KOSDAQ","일반전기전자","6500","0","0.00","49893850500"
"317530","캐리소프트","KOSDAQ","오락·문화","3910","-30","-0.76","39254265140"
"071850","캐스텍코리아","KOSDAQ","운송장비·부품","1950","-50","-2.50","47308829100"
"050110","캠시스","KOSDAQ","일반전기전자","902","-20","-2.17","66589354436"
"452300","캡스톤파트너스","KOSDAQ","금융","2625","25","0.96","37002997500"
"451760","컨텍","KOSDAQ","기타서비스","10540","140","1.35","158010157040"
"900310","컬러레이","KOSDAQ","금융","590","-10","-1.67","37784588250"
"078340","컴투스","KOSDAQ","출판·매체복제","48900","2800","6.07","622876219500"
"063080","컴투스홀딩스","KOSDAQ","출판·매체복제","32600","-600","-1.81","215003259200"
"307930","컴퍼니케이","KOSDAQ","금융","5080","-120","-2.31","79298800000"
"079190","케스피온","KOSDAQ","일반전기전자","576","36","6.67","22092776064"
"263700","케어랩스","KOSDAQ","기타서비스","2500","-35","-1.38","48535500000"
"214370","케어젠","KOSDAQ","제약","23800","-500","-2.06","1278417000000"
"221980","케이디켐","KOSDAQ","화학","12100","-30","-0.25","48821080000"
"038530","케이바이오","KOSDAQ","유통","236","-8","-3.28","27308585892"
"424140","케이비제21호스팩","KOSDAQ","금융","2070","-5","-0.24","15959700000"
"192250","케이사인","KOSDAQ","출판·매체복제","8140","-140","-1.69","57526397500"
"431190","케이쓰리아이","KOSDAQ","기타서비스","5060","-240","-4.53","37881396520"
"115500","케이씨에스","KOSDAQ","기타서비스","7870","-80","-1.01","94440000000"
"089150","케이씨티","KOSDAQ","기타서비스","2430","5","0.21","41674500000"
"025880","케이씨피드","KOSDAQ","음식료·담배","2920","45","1.57","48810305360"
"093320","케이아이엔엑스","KOSDAQ","기타서비스","74800","2300","3.17","365024000000"
"093640","케이알엠","KOSDAQ","일반전기전자","4330","40","0.93","141090105600"
"073010","케이에스피","KOSDAQ","기계·장비","4135","-20","-0.48","166190818750"
"105330","케이엔더블유","KOSDAQ","운송장비·부품","3585","-110","-2.98","57575200380"
"053080","케이엔솔","KOSDAQ","기계·장비","12860","-450","-3.38","167177518020"
"199430","케이엔알시스템","KOSDAQ","의료·정밀기기","6830","-220","-3.12","74226479790"
"432470","케이엔에스","KOSDAQ","기계·장비","12290","-590","-4.58","106610293240"
"272110","케이엔제이","KOSDAQ","일반전기전자","11800","-190","-1.58","94463661000"
"039420","케이엘넷","KOSDAQ","기타서비스","2545","-30","-1.17","61473787850"
"083550","케이엠","KOSDAQ","섬유·의류","3020","5","0.17","37370162520"
"032500","케이엠더블유","KOSDAQ","일반전기전자","8450","-260","-2.99","336486461350"
"225430","케이엠제약","KOSDAQ","화학","715","6","0.85","19939240750"
"102370","케이옥션","KOSDAQ","유통","3995","85","2.17","108780693950"
"068100","케이웨더","KOSDAQ","기계·장비","3450","240","7.48","34291668300"
"036030","케이티알파","KOSDAQ","유통","3765","-135","-3.46","184557600495"
"064820","케이프","KOSDAQ","운송장비·부품","5740","180","3.24","177375918720"
"256940","케이피에스","KOSDAQ","기계·장비","5160","-70","-1.34","96743075280"
"024880","케이피에프","KOSDAQ","금속","3715","-85","-2.24","76836594570"
"042040","케이피엠테크","KOSDAQ","유통","255","0","0.00","44487533835"
"054410","케이피티유","KOSDAQ","금속","3400","-45","-1.31","19469909600"
"258610","케일럼","KOSDAQ","금속","1233","-15","-1.20","33028534989"
"274090","켄코아에어로스페이스","KOSDAQ","운송장비·부품","10780","210","1.99","139204576280"
"089010","켐트로닉스","KOSDAQ","화학","15460","-780","-4.80","237068989160"
"220260","켐트로스","KOSDAQ","화학","3600","-190","-5.01","95609905200"
"052400","코나아이","KOSDAQ","출판·매체복제","14470","-130","-0.89","215602985530"
"402030","코난테크놀로지","KOSDAQ","출판·매체복제","25100","100","0.40","287467488800"
"391710","코닉오토메이션","KOSDAQ","기계·장비","1594","-57","-3.45","67051747084"
